shapeISO,year,active_firms_per_1000
VN-37,2022,4.14718554996055
VN-37,2023,4.3
VN-37,2024,4.4
VN-57,2021,14.50562907595354
VN-57,2022,14.74273322514661
VN-57,2023,15.3
VN-57,2024,15.8
VN-39,2021,7.90602261901869
VN-39,2022,7.93874082178115
VN-39,2023,8.0
VN-39,2024,8.2
VN-43,2021,9.68727440928713
VN-43,2022,10.12475661642749
VN-43,2023,10.4
VN-43,2024,10.5
VN-SG,2021,29.28653576450852
VN-SG,2022,29.18799363175695
VN-SG,2023,28.9
VN-SG,2024,28.3
VN-41,2021,6.42502474084527
VN-41,2022,6.62703782998964
VN-41,2023,7.0
VN-41,2024,7.7
VN-46,2021,2.84362959532791
VN-46,2022,3.09762966913058
VN-46,2023,3.3
VN-46,2024,3.4
VN-50,2021,2.68039409058263
VN-50,2022,2.75191331935292
VN-50,2023,3.0
VN-50,2024,3.0
VN-51,2021,2.39143579701023
VN-51,2022,2.57736510284933
VN-51,2023,2.7
VN-51,2024,2.7
VN-49,2021,2.71327434488321
VN-49,2022,2.79640209871095
VN-49,2023,3.0
VN-49,2024,3.0
VN-45,2021,2.32123029577108
VN-45,2022,2.49036039920758
VN-45,2023,2.6
VN-45,2024,2.7
VN-44,2021,2.54306611238718
VN-44,2022,2.65439912338705
VN-44,2023,2.7
VN-44,2024,2.8
VN-47,2021,4.60589127220412
VN-47,2022,4.93047555655519
VN-47,2023,5.0
VN-47,2024,4.9
VN-CT,2021,7.71616145818344
VN-CT,2022,8.03291098001514
VN-CT,2023,8.3
VN-CT,2024,8.5
VN-73,2021,3.2183003836055
VN-73,2022,3.47102747622579
VN-73,2023,3.7
VN-73,2024,4.0
VN-52,2021,2.33092158675357
VN-52,2022,2.41688463153571
VN-52,2023,2.4
VN-52,2024,2.5
VN-55,2021,2.38865118507147
VN-55,2022,2.36708472145531
VN-55,2023,2.5
VN-55,2024,2.5
VN-59,2021,3.02708942305741
VN-59,2022,3.1814459265982
VN-59,2023,3.2
VN-59,2024,3.1
