province_id_legacy63,shapeISO,year,ookla_tile_median_download_mbps,ookla_tile_mean_download_mbps,ookla_tests_weighted_mean_download_mbps,ookla_devices_weighted_mean_download_mbps
VN_LEGACY63_38,VN-21,2022,45.832499999999996,54.021821788689174,59.130094238904185,57.282327506145855
VN_LEGACY63_38,VN-21,2023,58.319500000000005,74.81743103448277,82.92834944224003,79.21630681253107
VN_LEGACY63_38,VN-21,2024,73.619,88.99893381570547,95.51733717204405,92.11594487427466
VN_LEGACY63_40,VN-22,2021,41.141,47.35182267206478,48.88600750170494,49.21256652512385
VN_LEGACY63_40,VN-22,2022,43.663,54.01686315789474,60.598266855678105,58.59307478165938
VN_LEGACY63_40,VN-22,2023,56.9445,79.88348804780877,92.11157318512316,86.95871509635974
VN_LEGACY63_40,VN-22,2024,75.405,91.48217408906883,98.79363296812748,96.19293666219839
VN_LEGACY63_42,VN-23,2021,41.63,48.11407099391481,47.409135704874835,48.81804900662252
VN_LEGACY63_42,VN-23,2022,43.454,53.55669676994068,60.22269039400071,56.250803953337645
VN_LEGACY63_42,VN-23,2023,55.216,76.0906738095238,83.61736159272986,80.31768320830928
VN_LEGACY63_42,VN-23,2024,69.055,82.44024391691394,96.44674231113764,86.45359540104025
VN_LEGACY63_44,VN-24,2021,44.994,52.444291044776115,58.829276503164564,54.78351208285386
VN_LEGACY63_44,VN-24,2022,44.9185,54.46673268921095,61.10224740402019,60.14673035613342
VN_LEGACY63_44,VN-24,2023,54.945,72.85361552185547,81.53948624213835,77.48271850326124
VN_LEGACY63_44,VN-24,2024,74.9925,89.02560522151899,97.01005060379529,93.26375070466646
VN_LEGACY63_45,VN-25,2021,47.898,54.58839080459771,61.97756162790697,58.21246674876848
VN_LEGACY63_45,VN-25,2022,52.08,69.61945084745761,69.5726543717499,69.75953980263158
VN_LEGACY63_45,VN-25,2023,64.72999999999999,85.7734203883495,96.4873439539944,91.97222599762938
VN_LEGACY63_45,VN-25,2024,82.651,95.45600115074798,105.15370266621666,102.13884450524397
VN_LEGACY63_46,VN-26,2021,50.81,56.28015796519411,61.5691114790287,60.869480302427384
VN_LEGACY63_46,VN-26,2022,58.085499999999996,68.53164480874318,76.19099617676265,75.25182065953923
VN_LEGACY63_46,VN-26,2023,80.248,93.67883511016346,105.86325831113169,103.54509600126944
VN_LEGACY63_46,VN-26,2024,88.952,101.12892743009321,117.29250308598351,109.02263321247283
VN_LEGACY63_48,VN-DN,2021,61.064499999999995,62.819459349593494,69.04445348562426,68.25594308560676
VN_LEGACY63_48,VN-DN,2022,78.313,79.81273303167421,87.167739121974,86.37692081509847
VN_LEGACY63_48,VN-DN,2023,101.618,102.3771940085592,116.43804942517993,114.70488775097697
VN_LEGACY63_48,VN-DN,2024,154.474,150.93398616874134,169.75980103399655,163.22750570299266
VN_LEGACY63_49,VN-27,2021,50.268,58.526655756207674,66.98873174114021,62.056277750848274
VN_LEGACY63_49,VN-27,2022,56.0205,67.50020669291338,71.54068562307873,70.23775138934292
VN_LEGACY63_49,VN-27,2023,82.154,101.45633384301732,103.41330464778504,100.38323758809712
VN_LEGACY63_49,VN-27,2024,97.2895,122.1042091886608,123.6713102944142,120.35625251959686
VN_LEGACY63_51,VN-29,2021,51.867,59.81875247524753,62.5510241416309,63.828379340277785
VN_LEGACY63_51,VN-29,2022,55.4,67.73015473608099,70.87714824061793,70.64276784822766
VN_LEGACY63_51,VN-29,2023,75.004,92.38033063923586,104.35887040109303,101.01147279190593
VN_LEGACY63_51,VN-29,2024,89.767,107.01747561837456,115.35029752143124,112.06331486486486
VN_LEGACY63_52,VN-31,2021,52.1015,61.472844414893615,70.95142102524069,70.05441374538745
VN_LEGACY63_52,VN-31,2022,52.191,65.88227408195849,74.29191499768316,72.98738150836226
VN_LEGACY63_52,VN-31,2023,83.9855,101.03041220657276,108.95447106227107,106.93955953774139
VN_LEGACY63_52,VN-31,2024,98.648,115.99993589120933,132.3341714871709,126.60234015879648
VN_LEGACY63_54,VN-38,2021,50.832,59.433844884488444,66.39620374449339,61.33470497630332
VN_LEGACY63_54,VN-38,2022,52.378,70.20414019851117,78.95303333333334,77.17124139221556
VN_LEGACY63_54,VN-38,2023,83.65799999999999,101.11553172588833,106.39538222543354,103.96621166134186
VN_LEGACY63_54,VN-38,2024,87.40350000000001,103.28177534562212,116.28296612021859,112.27264919071077
VN_LEGACY63_56,VN-34,2021,56.536,59.22804768392371,66.31124144158292,64.74876473755047
VN_LEGACY63_56,VN-34,2022,61.006,64.25653774385071,72.38532555475412,71.00457963217815
VN_LEGACY63_56,VN-34,2023,91.47550000000001,103.4961384863124,110.16134244545691,107.6908272847975
VN_LEGACY63_56,VN-34,2024,117.506,126.46835196850391,130.5122122649747,132.4719334252511
VN_LEGACY63_58,VN-36,2021,56.573,59.90765156794425,63.89581077348067,63.352511029411765
VN_LEGACY63_58,VN-36,2022,53.6835,62.330225631768954,68.16720513297378,67.07878651685392
VN_LEGACY63_58,VN-36,2023,72.728,87.64324356435642,114.87947816240697,99.34809055338178
VN_LEGACY63_58,VN-36,2024,91.7235,104.29028496503497,122.84441521739133,118.21609351806036
VN_LEGACY63_60,VN-40,2021,48.85,55.775279999999995,63.629557598617005,60.1631448275862
VN_LEGACY63_60,VN-40,2022,52.010999999999996,64.53723232323233,67.59072025437636,67.34821084828711
VN_LEGACY63_60,VN-40,2023,70.552,95.0026497386109,104.04118552343573,99.36459264644786
VN_LEGACY63_60,VN-40,2024,94.771,112.64228542914172,123.65542010292904,120.66783584366061
VN_LEGACY63_62,VN-28,2021,51.45,58.485282051282056,64.71716847479259,59.774859582542696
VN_LEGACY63_62,VN-28,2022,59.347,73.34039153439153,77.22200545375219,76.15602186133665
VN_LEGACY63_62,VN-28,2023,76.324,93.8233125,100.72870388002858,99.89607539936102
VN_LEGACY63_62,VN-28,2024,91.922,111.54116696588869,113.8743652625505,113.30904619758351
VN_LEGACY63_64,VN-30,2021,55.628,62.48931759656653,67.34430486650255,66.0700151975684
VN_LEGACY63_64,VN-30,2022,59.996,72.45180043699926,76.2262589193825,76.94026295017267
VN_LEGACY63_64,VN-30,2023,80.263,99.23529415715245,112.4250781458056,108.882307852194
VN_LEGACY63_64,VN-30,2024,91.0205,111.76226736566186,120.085923101018,119.16053218473319
VN_LEGACY63_66,VN-33,2021,51.263,54.57660837209302,60.817094786200734,59.40215650406503
VN_LEGACY63_66,VN-33,2022,47.79,56.110895059207834,63.40806520979021,62.14586487656994
